Date,region,totaltests,covidsheild_vials,Covaxin_vials,medical_employee,first_dose_administration,second_dose_administration
8/31/2020,NELLORE,861,165,2370,196,195,260
12/5/2020,SEC,2317,1650,3577,74,211,262
12/18/2020,SEC,1705,486,2360,118,204,283
4/16/2021,ViJAYAWADA,2622,731,2966,147,201,311
1/7/2021,ViJAYAWADA,1708,1233,2922,18,197,392
7/26/2020,NELLORE,913,915,350,133,164,376
1/31/2021,ViJAYAWADA,216,1489,2249,166,185,364
6/22/2020,SEC,2446,366,1811,80,189,244
10/16/2020,SEC,2462,66,697,38,133,242
2/4/2021,SEC,3553,1690,513,195,154,349
12/9/2020,ViJAYAWADA,1151,1431,3965,125,144,293
7/31/2020,ViJAYAWADA,25,1249,1876,6,220,255
10/6/2020,NELLORE,746,1305,2425,92,146,330
1/26/2021,ViJAYAWADA,215,629,3960,85,214,398
6/14/2020,ViJAYAWADA,2593,1331,1701,54,209,264
5/25/2020,NELLORE,586,228,3020,12,126,351
6/3/2020,NELLORE,1763,1216,1768,40,136,218
12/24/2020,NELLORE,568,877,1613,74,187,302
4/7/2021,SEC,3451,396,1263,118,156,294
4/18/2021,SEC,1347,23,3973,53,221,358
6/26/2020,NELLORE,646,354,2317,135,174,319
2/15/2021,NELLORE,1697,1402,3505,79,199,281
5/22/2020,ViJAYAWADA,3439,566,1062,40,204,369
3/12/2021,NELLORE,3337,1259,1440,51,134,326
3/17/2021,ViJAYAWADA,2948,1184,521,72,185,331
6/14/2020,SEC,1722,388,2065,134,201,227
3/28/2021,NELLORE,282,69,2550,153,155,346
8/30/2020,ViJAYAWADA,1804,770,189,164,229,339
5/12/2021,NELLORE,3419,1707,2654,69,211,410
2/5/2021,ViJAYAWADA,1145,241,3690,101,172,300
5/7/2021,NELLORE,1930,308,3547,22,132,277
7/15/2020,ViJAYAWADA,2907,1399,1133,97,169,377
10/8/2020,ViJAYAWADA,3270,1652,1767,186,125,372
11/3/2020,SEC,2513,1460,3597,210,127,328
9/16/2020,SEC,1837,201,1430,135,159,340
4/30/2021,NELLORE,1701,1638,3816,203,207,264
6/21/2020,NELLORE,1402,463,3197,100,208,268
3/1/2021,NELLORE,25,588,3383,149,193,270
12/7/2020,ViJAYAWADA,3638,122,884,178,180,244
7/9/2020,NELLORE,772,388,3082,12,148,372
4/13/2021,NELLORE,1062,1255,1708,86,176,291
5/15/2021,SEC,3984,1033,2431,200,196,245
3/18/2021,NELLORE,2791,1176,2107,194,147,267
2/18/2021,SEC,3530,1496,2938,38,154,353
6/22/2020,SEC,3627,1668,1988,59,175,397
11/22/2020,ViJAYAWADA,1482,921,2864,16,222,222
1/12/2021,SEC,634,490,1832,176,131,250
7/14/2020,SEC,3669,1501,634,181,174,273
9/18/2020,ViJAYAWADA,445,911,2485,169,202,314
12/14/2020,NELLORE,1042,1664,3302,69,155,407
10/4/2020,ViJAYAWADA,2161,775,155,187,165,212
5/24/2020,ViJAYAWADA,297,1430,385,13,222,246
6/7/2020,ViJAYAWADA,2637,223,3471,51,173,373
4/23/2021,SEC,3819,1665,3146,32,147,292
10/27/2020,NELLORE,766,182,1809,144,174,214
12/10/2020,NELLORE,3366,424,1436,14,211,246
